Month,Br,Block,Lot,Tax,Building,Comm,Coun,House,Street,Code,Debt
03-Jan-16,1,11,11,4,K4,101,1,22,BEAVER STREET,10004,YES
03-Jan-16,1,15,1285,2,R4,101,3,20,WEST STREET,10004,NO
03-Jan-16,1,18,1003,2,R4,101,1,88,GREENWICH STREET,10006,NO
03-Jan-16,1,18,1305,2,R4,101,1,88,GREENWICH STREET,10006,NO
03-Jan-16,1,18,1405,2,R4,101,1,88,GREENWICH STREET,10006,NO
03-Jan-16,1,18,1449,2,R4,101,1,88,GREENWICH STREET,10006,NO
03-Jan-16,1,24,1005,2,R4,101,1,40,BROAD STREET,10004,NO
03-Jan-16,1,26,1272,2,R4,101,1,15,BROAD STREET,10005,NO
03-Jan-16,1,27,1055,2,R4,101,1,55,WALL STREET,10005,NO
03-Jan-16,1,28,1047,2,R4,101,1,82,BEAVER STREET,10005,NO
03-Jan-16,1,29,23,4,K4,101,1,79,PEARL STREET,10004,NO
03-Jan-16,1,31,1184,2,R4,101,1,75,WALL STREET,10005,NO
03-Jan-16,1,31,1298,2,R4,101,1,75,WALL STREET,10005,NO
03-Jan-16,1,39,1016,2,R4,101,1,164,PEARL STREET,10005,NO
03-Jan-16,1,41,1001,4,RK,101,1,50,PINE STREET,10005,NO
03-Jan-16,1,41,1010,2,R4,101,1,50,PINE STREET,10005,NO
03-Jan-16,1,44,1371,2,R4,101,1,18,PINE STREET,10005,NO
03-Jan-16,1,53,37,4,H3,101,1,102,GREENWICH STREET,10006,NO
03-Jan-16,1,64,16,4,H2,101,1,170,BROADWAY,10038,YES
03-Jan-16,1,68,7501,2,R0,101,1,80,JOHN STREET,10038,YES
03-Jan-16,1,75,9,4,K2,101,1,133,JOHN STREET,10038,YES
03-Jan-16,1,76,7,4,O5,101,1,27,CLIFF STREET,10038,NO
03-Jan-16,1,76,1399,2,R4,101,1,99,JOHN STREET,10038,NO
03-Jan-16,1,88,4,4,M3,101,1,18,VESEY STREET,10007,NO
03-Jan-16,1,97,1,2,D7,101,1,119,SOUTH STREET,10038,YES
03-Jan-16,1,100,1016,2,R4,101,1,150,NASSAU STREET,10038,NO
03-Jan-16,1,107,51,4,K4,101,1,279,WATER STREET,10038,NO
03-Jan-16,1,124,9,4,K4,101,1,21,PARK PLACE,10007,NO
03-Jan-16,1,132,1116,2,R4,101,1,275,GREENWICH STREET,10007,NO
03-Jan-16,1,133,10,4,L8,101,1,51,MURRAY STREET,10007,YES
03-Jan-16,1,135,1101,2,R8,101,1,18,WARREN STREET,10007,NO
03-Jan-16,1,137,1076,2,R4,101,1,295,GREENWICH STREET,10007,NO
03-Jan-16,1,137,9030,4,V1,101,,,CHAMBERS STREET,10007,NO
03-Jan-16,1,140,1122,2,R4,101,1,311,GREENWICH STREET,10013,NO
03-Jan-16,1,140,1203,4,RK,101,1,141,READE STREET,10013,NO
03-Jan-16,1,141,19,2,S4,101,1,323,GREENWICH STREET,10013,YES
03-Jan-16,1,142,1296,2,R4,101,1,200,CHAMBERS STREET,10007,NO
03-Jan-16,1,142,1367,4,RS,101,1,200,CHAMBERS STREET,10007,NO
03-Jan-16,1,142,1368,4,RS,101,1,200,CHAMBERS STREET,10007,NO
03-Jan-16,1,142,1369,4,RS,101,1,200,CHAMBERS STREET,10007,NO
03-Jan-16,1,142,1370,4,RS,101,1,200,CHAMBERS STREET,10007,NO
03-Jan-16,1,142,1399,4,RS,101,1,200,CHAMBERS STREET,10007,NO
03-Jan-16,1,143,16,2,D2,101,1,325,GREENWICH STREET,10013,NO
03-Jan-16,1,144,1101,4,RK,101,1,36,HUDSON STREET,10013,NO
03-Jan-16,1,145,18,4,L8,101,1,105,READE STREET,10013,YES
03-Jan-16,1,146,17,2,S3,101,1,144,DUANE STREET,10013,NO
03-Jan-16,1,147,1705,4,RK,101,1,137,DUANE STREET,10013,NO
03-Jan-16,1,162,11,4,O6,103,1,20,MOTT STREET,10013,NO
03-Jan-16,1,163,35,4,K4,103,1,26,BOWERY,10013,NO
03-Jan-16,1,164,45,2,C7,103,1,21,MOTT STREET,10013,NO
03-Jan-16,1,164,46,2,C7,103,1,19,MOTT STREET,10013,NO
03-Jan-16,1,173,7501,2,R0,101,1,66,LEONARD STREET,10013,YES
03-Jan-16,1,176,17,4,K2,101,1,179,WEST BROADWAY,10013,YES
03-Jan-16,1,180,15,4,L9,101,1,15,JAY STREET,10013,NO
03-Jan-16,1,181,1102,4,RB,101,1,6,HARRISON STREET,10013,NO
03-Jan-16,1,187,1305,2,R1,101,1,111,HUDSON STREET,10013,NO
03-Jan-16,1,188,1243,2,R4,101,1,53,NORTH MOORE STREET,10013,NO
03-Jan-16,1,190,1012,2,R4,101,1,39,NORTH MOORE STREET,10013,NO
